,SchNet_true_ES1,SchNet_pred_ES1,PaiNN_true_ES1,PaiNN_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
OIFATWJBKCAGIW-AATKOCIRSA-N,3.317,2.9395692,3.317,3.03404,3.317,3.0597959,3.317,3.2706923,3.317,3.0077581,3.317,3.1107075
KYRASYYUWZJCJU-NLWRWCNBSA-N,2.504,2.7569573,2.504,2.7262866,2.504,2.7317584,2.504,2.7394512,2.504,2.974551,2.504,3.0321565
UVYKHVWELYABCL-UHFFFAOYSA-N,3.018,2.944431,3.018,2.933776,3.018,2.9942765,3.018,2.9720001,3.018,3.005397,3.018,3.0863
HNSWMBSYIXNPSN-UHFFFAOYSA-N,2.93,2.9642572,2.93,2.5386124,2.93,3.217635,2.93,3.0332077,2.93,3.0533707,2.93,2.9761953
YJKRVYBCKRVIKJ-UHFFFAOYSA-N,2.948,3.022566,2.948,3.0100782,2.948,2.951351,2.948,3.08163,2.948,3.0889976,2.948,3.017249
PYXPWVKPJVWKSG-UHFFFAOYSA-N,2.737,2.7235062,2.737,2.246114,2.737,2.7228837,2.737,2.4222689,2.737,2.634056,2.737,2.4673827
GPCINJHYJHSFFE-SGGIXXLRSA-N,2.445,2.361643,2.445,2.5064101,2.445,2.5005965,2.445,2.7239695,2.445,2.4837747,2.445,2.4595056
NWQCGYBYQCTKTA-UHFFFAOYSA-N,3.052,3.0773337,3.052,3.0277057,3.052,3.3527713,3.052,2.9863195,3.052,2.9333544,3.052,2.7723143
GMESINRXUMFFJJ-OSOBWTGHSA-N,2.186,2.3155842,2.186,2.4705613,2.186,2.207602,2.186,2.2105358,2.186,2.422323,2.186,2.2581975
OETGXFFIIJRZHX-KHGQOBKHSA-N,2.71,3.0347562,2.71,2.91499,2.71,2.8853066,2.71,3.1480334,2.71,3.084997,2.71,3.1155932
GCSQFSJZGWTXJE-UHFFFAOYSA-N,2.837,2.9273295,2.837,2.6568158,2.837,3.0098023,2.837,2.9534364,2.837,2.6937737,2.837,2.8689442
GMDSMVYQKVSLDU-UHFFFAOYSA-N,2.648,3.1389327,2.648,3.4476972,2.648,3.1202009,2.648,3.362679,2.648,3.2028773,2.648,2.927301
XYWUAZFYOJIQFM-UHFFFAOYSA-N,3.012,3.05204,3.012,2.5266232,3.012,3.129211,3.012,2.7240076,3.012,3.0068038,3.012,2.9870744
WMBMRKJVKQTKCK-CTPRUIAFSA-N,3.054,3.0151863,3.054,2.9101834,3.054,3.0999696,3.054,2.9696474,3.054,3.169597,3.054,3.1674795
AVIPGULPKBHPKM-UHFFFAOYSA-N,3.181,2.9797776,3.181,2.6065905,3.181,3.0823026,3.181,3.1169646,3.181,3.2015705,3.181,3.1440115
JHZGSIXGEINKQN-UHFFFAOYSA-N,2.634,2.587883,2.634,2.544575,2.634,2.4855626,2.634,2.5470252,2.634,2.660034,2.634,2.581383
HYBNLHQOKCRBCQ-UHFFFAOYSA-N,2.812,2.801909,2.812,2.6881974,2.812,2.7049484,2.812,2.625778,2.812,2.6708632,2.812,2.4051604
LAVHLMYONOQHSM-UHFFFAOYSA-N,3.15,3.0050044,3.15,3.1153774,3.15,3.1701903,3.15,3.0798345,3.15,3.0220227,3.15,3.017611
AOPYBXLFELGNMI-QCLZLDFOSA-N,2.362,2.5204346,2.362,2.3180923,2.362,2.524505,2.362,2.4192262,2.362,2.5383906,2.362,2.2960272
AARTVEZTJONTEE-UHFFFAOYSA-N,3.058,2.9417317,3.058,2.952292,3.058,3.0804613,3.058,3.1431422,3.058,3.138339,3.058,3.0677817
IZLLUUSJLRUEQQ-LRUPQKRHSA-N,2.593,2.718802,2.593,2.664836,2.593,2.657278,2.593,2.6231072,2.593,2.6760557,2.593,2.564795
XPJIHLRHJVQJOB-PLVVXOMOSA-N,2.421,2.344377,2.421,2.0854466,2.421,2.4698253,2.421,2.356577,2.421,2.637319,2.421,2.6112437
UAFGPBZLTQTAHU-JGKJQCDESA-N,2.745,2.703332,2.745,2.633874,2.745,2.7685864,2.745,2.746966,2.745,2.7484095,2.745,2.7993023
