,SchNet_true_ES1,SchNet_pred_ES1,PaiNN_true_ES1,PaiNN_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
FYPDRGXVURTINV-CMABBCFESA-N,2.949,3.1338944,2.949,2.9643998,2.949,3.059529,2.949,3.0196579,2.949,2.84986,2.949,2.9300554
OUMODPYTGGOZDR-CJBZSKJHSA-N,2.569,2.4042463,2.569,2.191546,2.569,2.3401866,2.569,2.4922445,2.569,2.5047023,2.569,2.3432631
WICSPIMGBQQCTG-BSWDPLKLSA-N,3.253,2.9585962,3.253,2.99349,3.253,3.0299678,3.253,3.016037,3.253,3.0162086,3.253,2.899103
QLKZGALXOIFBQI-MNQNVOJESA-N,2.861,2.8936813,2.861,2.9792812,2.861,3.0207546,2.861,3.0163553,2.861,2.8645284,2.861,3.0211272
IXZKAFVOECBONF-ARQZSDTQSA-N,2.955,3.0583835,2.955,3.0009055,2.955,3.1007311,2.955,3.0589776,2.955,2.9979544,2.955,2.9497094
PHYXWXBWSUJXTI-NOPDUFPGSA-N,2.686,3.1043296,2.686,2.829222,2.686,2.8774126,2.686,2.8002095,2.686,2.9309864,2.686,3.02592
ONFGARJSRVGFJX-WPUQECBTSA-N,2.81,3.0662112,2.81,3.0469296,2.81,3.1655383,2.81,2.9310446,2.81,2.958238,2.81,2.8023605
DKJXQSGKUVEXPV-QTUXOVLISA-N,2.682,2.5819724,2.682,2.5694525,2.682,2.3887703,2.682,2.2849982,2.682,2.725371,2.682,2.3772497
QQEHRTVXTULOHB-KMUKQRDJSA-N,2.522,2.4067774,2.522,2.624026,2.522,2.395924,2.522,2.545468,2.522,2.4413056,2.522,2.6257498
CRUCGAKYSFULRK-QLEFYHBSSA-N,2.58,2.860074,2.58,2.8940258,2.58,2.675537,2.58,2.8824472,2.58,2.9615319,2.58,2.968021
YSZHNFNNGAGAMA-WIXPNEKYSA-N,2.335,2.2367036,2.335,2.0745578,2.335,2.1571412,2.335,2.1448622,2.335,2.388671,2.335,2.291405
NSYKBPWRFDGADH-UWSZAQBRSA-N,3.028,3.0814128,3.028,2.957047,3.028,2.9437385,3.028,2.9548275,3.028,3.0011683,3.028,2.9099312
MURKAVGWZCWZMU-YRJKAGBCSA-N,2.6,2.8369696,2.6,2.9731627,2.6,2.8755915,2.6,2.838359,2.6,2.9500844,2.6,2.939242
CXTCXYZOXCWZEW-OQEQQGDCSA-N,2.477,2.8769226,2.477,2.6860702,2.477,2.4728527,2.477,2.6143262,2.477,2.9596746,2.477,3.0123873
BVSVVWSUNZUNDF-VSKSQMTHSA-N,2.657,2.9586241,2.657,3.0146632,2.657,2.5808923,2.657,2.8307455,2.657,2.7018366,2.657,2.8991163
ZLXANRYLKYCEEI-YEUUDHEPSA-N,2.36,2.1952853,2.36,2.285973,2.36,2.3174565,2.36,2.2074497,2.36,2.3840623,2.36,2.1504056
LBJKLGVQUAQPAR-LQNQUEJISA-N,2.511,2.737152,2.511,2.732901,2.511,2.362245,2.511,2.4835021,2.511,2.8967013,2.511,2.9117153
KAKASZTZKBPFHO-LDYJBHNGSA-N,3.261,3.051415,3.261,3.1558807,3.261,3.23633,3.261,3.151608,3.261,3.1285188,3.261,3.104586
YEPBJBYRYKJMDM-KYHGBAKBSA-N,3.043,3.0173664,3.043,3.0156033,3.043,3.0151486,3.043,2.9570894,3.043,3.0225747,3.043,2.9982555
NMIFATRRCMRZHU-YYZPSDJSSA-N,3.115,3.4506552,3.115,3.1819122,3.115,3.2952724,3.115,3.2070618,3.115,3.0247846,3.115,3.0741909
AAZNTXQFTWYAOT-VCXCCWLUSA-N,2.673,2.8820634,2.673,2.6450648,2.673,2.725957,2.673,2.6689453,2.673,2.7484524,2.673,2.6715527
QTLOOBLYMXNTJY-NOPDUFPGSA-N,2.433,2.7516885,2.433,2.4331906,2.433,2.7885697,2.433,2.5583,2.433,2.6006808,2.433,2.7877452
HKKSWYUONOATNO-LPEPFOFCSA-N,2.445,2.306389,2.445,2.442922,2.445,2.3778515,2.445,2.403635,2.445,2.295087,2.445,2.2917347
JMZPNVALOVTTHC-OBUAHGEASA-N,2.757,2.9168265,2.757,2.887497,2.757,2.8605175,2.757,2.847162,2.757,2.8929265,2.757,2.877753
IIOOLPKWUFZKNE-ORYDSYBTSA-N,3.232,3.1614401,3.232,3.1082368,3.232,3.174189,3.232,3.0810506,3.232,3.103729,3.232,3.1204128
DRKXBMHIOWYWQO-NBEIOVAWSA-N,2.584,2.699802,2.584,2.830507,2.584,2.6207123,2.584,2.4913359,2.584,2.7831075,2.584,2.8836615
GDWLBXZLGFQZJX-ILYHCLFQSA-N,2.49,2.84991,2.49,2.7865188,2.49,2.7535412,2.49,2.962546,2.49,2.7921648,2.49,2.7437367
LUQCHIATUNATHN-NNODZFFKSA-N,2.735,2.9967806,2.735,2.8738713,2.735,2.9649575,2.735,2.9014926,2.735,2.6961484,2.735,2.881856
YCGCHKWXLSXYGL-HNSNBQBZSA-N,3.15,3.049541,3.15,3.2743354,3.15,2.9860826,3.15,3.0437958,3.15,2.9168694,3.15,2.9288585
PPJSOWKHQRBVSU-OBXPLWTPSA-N,2.814,2.9863667,2.814,3.0551617,2.814,3.1032512,2.814,2.950374,2.814,2.9139843,2.814,2.9532006
WVZXXDNBYAHWTF-WBFBQHAKSA-N,2.384,2.5264223,2.384,2.407941,2.384,2.2961378,2.384,2.3415346,2.384,2.446331,2.384,2.4129374
NMOGQCMBQSWYLI-PTEHHBOZSA-N,2.666,2.6563513,2.666,2.6228342,2.666,2.706153,2.666,2.7318647,2.666,2.5805209,2.666,2.8519568
YAMUSRXUPPDPFG-UUBYCNJISA-N,3.337,3.176889,3.337,3.427946,3.337,3.310134,3.337,3.2889044,3.337,3.081536,3.337,3.1772408
BCPOCENQNYGYDX-ASOMTAGKSA-N,2.356,2.9438186,2.356,2.705367,2.356,2.520499,2.356,2.794333,2.356,3.0036557,2.356,2.8566105
AIPNCUUDTVLJQE-PNHGISFSSA-N,2.888,2.9154036,2.888,3.0915256,2.888,3.2169335,2.888,3.2262034,2.888,3.0450127,2.888,3.1384087
UIWFOICXWYYNNW-QRCWDDLPSA-N,2.699,2.904715,2.699,2.695072,2.699,2.9128153,2.699,2.975681,2.699,2.9160688,2.699,2.9854848
DDRBZOPLRUEEQT-VSQAHFCOSA-N,2.837,3.0116498,2.837,2.9766831,2.837,2.9079468,2.837,2.9295397,2.837,2.9225276,2.837,3.1164222
YYVDUIXXZDQTQQ-HFLFNKSXSA-N,2.433,2.314176,2.433,2.1977801,2.433,2.171345,2.433,2.3401675,2.433,2.2549272,2.433,2.3522494
ITYZCCINSJMXPZ-GXBUFBABSA-N,2.573,2.5370984,2.573,2.626088,2.573,2.4242663,2.573,2.5329006,2.573,2.873804,2.573,2.7009282
ILIHMYPQJLPWHK-WJUIDDSLSA-N,2.695,2.7425752,2.695,2.5922787,2.695,2.8524392,2.695,2.6744888,2.695,2.5887194,2.695,2.6999416
