,PaiNN_true_ES1,PaiNN_pred_ES1,SchNet_true_ES1,SchNet_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
YFBWKORZIASAGW-UHFFFAOYSA-N,3.186,2.8232367,3.186,2.8202338,3.186,2.8137686,3.186,2.797003,3.186,2.8276012,3.186,2.8543954
IRTYQHCVFVVCLL-WVKHYPTHSA-N,2.177,2.8187008,2.177,2.8149307,2.177,2.8154466,2.177,2.79701,2.177,2.8248181,2.177,2.816406
NMBGMLAJLMGHBJ-HXBXVGILSA-N,2.575,2.8274474,2.575,2.8172994,2.575,2.8155086,2.575,2.7970085,2.575,2.8259315,2.575,2.8285468
AHECIATWFUZHKP-AWRIZHPMSA-N,2.72,2.8276253,2.72,2.8177493,2.72,2.817653,2.72,2.7970204,2.72,2.8252325,2.72,2.888094
LTLDSWNCOXRTFM-MDCVPAOJSA-N,3.189,2.8289022,3.189,2.8152435,3.189,2.8165522,3.189,2.796977,3.189,2.8268356,3.189,2.816802
GVFSTCGORLJONI-WFWAHQBUSA-N,2.815,2.8302338,2.815,2.816146,2.815,2.8182528,2.815,2.7970085,2.815,2.8254879,2.815,2.8344471
AJUZXLHEWNEMDS-KZKHZXJHSA-N,3.302,2.8297443,3.302,2.801987,3.302,2.8159525,3.302,2.7970195,3.302,2.8276813,3.302,2.924627
LDWNLNTYSFOSSO-UHFFFAOYSA-N,2.278,2.8154426,2.278,2.8181505,2.278,2.813846,2.278,2.7970054,2.278,2.8224413,2.278,2.851158
FVHGXYCIDURBKD-WKIKZPBSSA-N,2.861,2.8123705,2.861,2.8190932,2.861,2.8130648,2.861,2.7970192,2.861,2.820865,2.861,2.7693646
OMKMEILSCFQMFW-FWXVMNEKSA-N,2.908,2.8257701,2.908,2.8191195,2.908,2.8161533,2.908,2.7969904,2.908,2.828349,2.908,2.8334367
KVTLIGYSVGXVLE-UHFFFAOYSA-N,2.759,2.8221195,2.759,2.8148293,2.759,2.8157966,2.759,2.797011,2.759,2.8178349,2.759,2.766262
NLUOLYGUEKFDBR-GESPGMLMSA-N,2.677,2.8262572,2.677,2.8186316,2.677,2.815327,2.677,2.7970188,2.677,2.8235128,2.677,2.9242668
QEIATACMUOFVDB-BYDMSBDESA-N,2.301,2.824861,2.301,2.818049,2.301,2.8152564,2.301,2.7970161,2.301,2.8243208,2.301,2.9303267
UBTSPVTYSFIWDW-UHFFFAOYSA-N,2.737,2.829991,2.737,2.8154223,2.737,2.817918,2.737,2.7969913,2.737,2.8249366,2.737,3.3762689
QNILOLURVLBQCP-SYKAXCGESA-N,3.284,2.8258045,3.284,2.8164046,3.284,2.8160248,3.284,2.7969987,3.284,2.827571,3.284,2.9496076
IEHLORWNOIMLEC-UHFFFAOYSA-N,2.196,2.8292356,2.196,2.8183506,2.196,2.8160396,2.196,2.797004,2.196,2.81766,2.196,2.8577747
LKNGGQDHJISQKP-BGMILDDJSA-N,2.587,2.8215787,2.587,2.820316,2.587,2.8158412,2.587,2.7967625,2.587,2.8147748,2.587,2.882433
GGRKLBQYWYLDHV-HTUAQKSLSA-N,3.149,2.8257117,3.149,2.8154085,3.149,2.8180015,3.149,2.7970076,3.149,2.8223283,3.149,2.88208
BJAWZSFOXCFGPX-UHFFFAOYSA-N,2.563,2.8269203,2.563,2.8146045,2.563,2.8172739,2.563,2.7970176,2.563,2.8246837,2.563,2.8248725
ORBUDKHQLONDNR-UHFFFAOYSA-N,3.142,2.8219283,3.142,2.8202837,3.142,2.8152013,3.142,2.7967727,3.142,2.8224235,3.142,2.8764734
IBSGWGWOUNTKOK-UHFFFAOYSA-N,2.973,2.819256,2.973,2.8196723,2.973,2.8137612,2.973,2.7970123,2.973,2.8237247,2.973,2.8260694
YMSVZVGJTOLREC-UHFFFAOYSA-N,3.249,2.823885,3.249,2.8142886,3.249,2.8176734,3.249,2.7970192,3.249,2.8192816,3.249,2.970295
UWLFZVXLSDIYOH-UHFFFAOYSA-N,2.362,2.829434,2.362,2.8181505,2.362,2.8162444,2.362,2.7970407,2.362,2.8276496,2.362,2.9385693
FFFYQFIZMOWDOG-UHFFFAOYSA-N,2.906,2.823219,2.906,2.8184369,2.906,2.8136077,2.906,2.7970161,2.906,2.8279388,2.906,2.8086748
KFDWCGKFGNEICE-UHFFFAOYSA-N,2.602,2.824992,2.602,2.8177693,2.602,2.8158073,2.602,2.797023,2.602,2.8237813,2.602,3.0532568
OGTWQXANKJMGLJ-UHFFFAOYSA-N,3.078,2.8298187,3.078,2.8147275,3.078,2.8176157,3.078,2.7969763,3.078,2.8257651,3.078,2.8144395
NZMUZIUBSQEOML-UHFFFAOYSA-N,2.831,2.8175383,2.831,2.8148358,2.831,2.8149567,2.831,2.7969995,2.831,2.8176475,2.831,2.8083403
ATMDWHLZDFQROY-UHFFFAOYSA-N,2.565,2.8206363,2.565,2.816726,2.565,2.814233,2.565,2.7969952,2.565,2.8258932,2.565,2.8437276
JNUPTXVAAVQKMJ-UHFFFAOYSA-N,2.543,2.8256414,2.543,2.8197536,2.543,2.8152523,2.543,2.7970335,2.543,2.8277304,2.543,2.9112885
CSNLEXFJTIZNNU-IWIZUXLOSA-N,3.045,2.8289776,3.045,2.8156366,3.045,2.8177285,3.045,2.796999,3.045,2.8262575,3.045,2.9599972
JBEPMODQJZKTRT-ONFMMSPXSA-N,3.472,2.8200502,3.472,2.8151088,3.472,2.8159075,3.472,2.7970045,3.472,2.8231392,3.472,2.7853017
XAITVJSYOGIUFQ-ADJDCTSUSA-N,3.314,2.822177,3.314,2.8197587,3.314,2.8163903,3.314,2.7967944,3.314,2.8239286,3.314,2.8203092
CURFXVYDMHOVRC-UHFFFAOYSA-N,2.432,2.8252754,2.432,2.8170712,2.432,2.815771,2.432,2.7970436,2.432,2.8239484,2.432,2.9112515
CXIDVKPRPVMQQZ-UHFFFAOYSA-N,2.111,2.8302739,2.111,2.8150399,2.111,2.818114,2.111,2.7969809,2.111,2.8259344,2.111,2.9769125
LREKGXXUHYQRMA-UHFFFAOYSA-N,3.251,2.8235283,3.251,2.8180695,3.251,2.8126068,3.251,2.7970235,3.251,2.830976,3.251,2.7630765
WVWWNGMARGXPEP-UHFFFAOYSA-N,2.753,2.8247898,2.753,2.8164098,2.753,2.8159115,2.753,2.7970238,2.753,2.8235698,2.753,2.8769653
FWMYKPZIUOPXQM-NOZFPZSGSA-N,2.545,2.8290012,2.545,2.8155127,2.545,2.8169267,2.545,2.7969918,2.545,2.8268692,2.545,3.5081122
GRWSNJMCIZWTGA-UHFFFAOYSA-N,3.109,2.8236063,3.109,2.818509,3.109,2.8144882,3.109,2.7970178,3.109,2.8248634,3.109,2.9107046
RPWLOEQHCXQGDF-UHFFFAOYSA-N,2.671,2.8285644,2.671,2.814622,2.671,2.8184884,2.671,2.7969944,2.671,2.8250558,2.671,2.83906
MZDYWFOOIVKNGK-UHFFFAOYSA-N,2.858,2.8302405,2.858,2.813378,2.858,2.8180833,2.858,2.796986,2.858,2.825401,2.858,2.8894396
RAUSVUPOBZONBG-UHFFFAOYSA-N,3.0,2.8256805,3.0,2.817122,3.0,2.816575,3.0,2.7970476,3.0,2.8231359,3.0,2.8207026
JUUXSWMTYIEWFL-LEEFCJJLSA-N,2.504,2.8229532,2.504,2.8130758,2.504,2.8152776,2.504,2.7970023,2.504,2.8275242,2.504,2.7778933
ZMCRQDKVAPQLEA-UHFFFAOYSA-N,2.536,2.8168218,2.536,2.8151324,2.536,2.8138463,2.536,2.7969668,2.536,2.841038,2.536,2.7970285
DHQULWQTWFKSCT-UHFFFAOYSA-N,2.68,2.8263836,2.68,2.8149824,2.68,2.8175209,2.68,2.797005,2.68,2.8223221,2.68,2.8142798
WSTZCMCBKOWEKF-UHFFFAOYSA-N,2.71,2.8258395,2.71,2.8144035,2.71,2.8185117,2.71,2.7969837,2.71,2.8223186,2.71,2.9227426
WBLXDVFCMOVQBP-UHFFFAOYSA-N,2.249,2.8247728,2.249,2.816516,2.249,2.816469,2.249,2.797044,2.249,2.823369,2.249,3.005184
MBYJNACTBZAFIK-MJXLXAJKSA-N,2.684,2.8224905,2.684,2.8204455,2.684,2.8152354,2.684,2.7969975,2.684,2.8201199,2.684,2.7992039
GNJUMVGISRLHBP-CEVNTNIQSA-N,2.606,2.8248453,2.606,2.8170288,2.606,2.815495,2.606,2.7969975,2.606,2.8315518,2.606,2.764175
QMAKXZVKSLALEK-UHFFFAOYSA-N,2.585,2.8239498,2.585,2.8206742,2.585,2.8140674,2.585,2.7969854,2.585,2.830538,2.585,2.8354337
QERPRVRXXQBPCI-UHFFFAOYSA-N,2.553,2.8252451,2.553,2.8157537,2.553,2.816824,2.553,2.797043,2.553,2.8231053,2.553,2.983726
QQNRQBLQBQAULK-UHFFFAOYSA-N,2.886,2.8254683,2.886,2.818883,2.886,2.8163393,2.886,2.7970316,2.886,2.8235185,2.886,2.9770775
HDSKUTNJEPBLFD-UHFFFAOYSA-N,3.222,2.8251414,3.222,2.8176408,3.222,2.815344,3.222,2.797028,3.222,2.8259466,3.222,2.9233453
SUOOSCTWECJPOL-UHFFFAOYSA-N,2.916,2.8266807,2.916,2.8155107,2.916,2.8155184,2.916,2.7970169,2.916,2.8278086,2.916,2.8336155
NMYDNZNOGDJWBP-UHFFFAOYSA-N,2.864,2.815218,2.864,2.8205464,2.864,2.813472,2.864,2.7970152,2.864,2.8228245,2.864,2.8177116
PNRLHZBUZBCLOQ-UHFFFAOYSA-N,3.331,2.819215,3.331,2.8147955,3.331,2.813979,3.331,2.7970197,3.331,2.8268807,3.331,2.7756004
CVJWMFHDIMNHAG-UHFFFAOYSA-N,3.293,2.8148568,3.293,2.814496,3.293,2.8138957,3.293,2.7969933,3.293,2.8224459,3.293,2.7901225
RCEAYLWWADGHCJ-UHFFFAOYSA-N,0.754,2.830609,0.754,2.8156824,0.754,2.8186808,0.754,2.797025,0.754,2.8255935,0.754,2.823159
LIBBXVJFPILVRY-CXVMZADYSA-N,2.725,2.8217084,2.725,2.8163948,2.725,2.816587,2.725,2.7970128,2.725,2.8189263,2.725,2.772017
VTSJCDNQRWHTFA-ZBZDSNEDSA-N,2.442,2.8218927,2.442,2.818612,2.442,2.8156226,2.442,2.7969933,2.442,2.8215966,2.442,3.011968
MUSIIOHCHOKULW-YHCFINJFSA-N,2.717,2.8176787,2.717,2.8152514,2.717,2.8144116,2.717,2.7970073,2.717,2.8247023,2.717,2.8167028
MMHSDHFEAWJPOM-UHFFFAOYSA-N,2.47,2.8230731,2.47,2.8156147,2.47,2.8165028,2.47,2.7970343,2.47,2.8203256,2.47,2.8050914
LDFORNUHRKDYMM-UHFFFAOYSA-N,2.925,2.8274899,2.925,2.8176174,2.925,2.8174992,2.925,2.7969823,2.925,2.8217716,2.925,2.8077738
SCESUOCLLOSVFZ-HGMRCBETSA-N,2.918,2.825648,2.918,2.8197236,2.918,2.8164265,2.918,2.7970352,2.918,2.8234873,2.918,2.9793165
ZJIMLYFLNBFXAF-UHFFFAOYSA-N,2.848,2.8242443,2.848,2.8152018,2.848,2.8144405,2.848,2.796988,2.848,2.827116,2.848,2.7952878
MGQZICKICKAIPO-UHFFFAOYSA-N,2.563,2.8247867,2.563,2.8179393,2.563,2.8156412,2.563,2.7970278,2.563,2.8263965,2.563,2.7658105
BRFWPUVKJHKAER-KTTGIIOKSA-N,2.908,2.8236208,2.908,2.8205829,2.908,2.8166676,2.908,2.796982,2.908,2.8014133,2.908,2.9075758
FKENJXRUNWUUOR-UHFFFAOYSA-N,2.577,2.830258,2.577,2.8133798,2.577,2.8181267,2.577,2.7969818,2.577,2.8253195,2.577,2.850136
VZONPWLIKHUKOF-UHFFFAOYSA-N,1.983,2.8263476,1.983,2.815566,1.983,2.8173637,1.983,2.7970092,1.983,2.8223937,1.983,2.843916
ARLDIJAHOFBGBU-BGQIHKOOSA-N,2.787,2.819853,2.787,2.8177156,2.787,2.8162818,2.787,2.7969742,2.787,2.821769,2.787,2.9449482
TZRGOKPAVPLOQJ-VVEDTRTISA-N,2.916,2.8286808,2.916,2.8199737,2.916,2.8162737,2.916,2.7969995,2.916,2.8277273,2.916,2.812511
PIYBNRWTVDJGOB-WGEIWTTOSA-N,2.881,2.83101,2.881,2.819141,2.881,2.8147128,2.881,2.7970233,2.881,2.8309264,2.881,2.8601804
AVTDVQSTVCJKLK-FVROZTDHSA-N,3.295,2.8312485,3.295,2.817398,3.295,2.8177862,3.295,2.797009,3.295,2.8240454,3.295,3.0424619
YIDLBAJZJRZTDO-UHFFFAOYSA-N,2.99,2.8312845,2.99,2.8194177,2.99,2.8161345,2.99,2.797019,2.99,2.8304026,2.99,2.9576063
LEQJEMQDKLBNQX-UHFFFAOYSA-N,2.417,2.8256214,2.417,2.816914,2.417,2.8166566,2.417,2.797024,2.417,2.8229928,2.417,2.9740632
AIHLIMFPPMDQJE-UHFFFAOYSA-N,3.041,2.8211641,3.041,2.8129115,3.041,2.8159177,3.041,2.7970045,3.041,2.8196023,3.041,2.8025038
ZQWJRSGNDLSFSE-NUYXUUSISA-N,2.818,2.8261302,2.818,2.816363,2.818,2.818319,2.818,2.7970068,2.818,2.8201761,2.818,2.8903043
AGMBVYOSPILREP-QNVXDBMFSA-N,2.6,2.8219385,2.6,2.8212597,2.6,2.815057,2.6,2.7969887,2.6,2.8226666,2.6,2.843457
BNROPIVJNKKKMT-QAAPRQGUSA-N,2.477,2.8292005,2.477,2.8216403,2.477,2.816958,2.477,2.7969618,2.477,2.829241,2.477,2.7981272
MMFFMHDJWXYLFO-UHFFFAOYSA-N,2.426,2.8186607,2.426,2.8187509,2.426,2.8138628,2.426,2.7970114,2.426,2.8237665,2.426,2.8585422
FBSZBOOMHYTZPY-UHFFFAOYSA-N,2.506,2.8239915,2.506,2.8185756,2.506,2.8172007,2.506,2.7970114,2.506,2.8265843,2.506,2.904747
RVYUSAMHUFCVNV-SBDLQUGJSA-N,3.098,2.8212185,3.098,2.8172185,3.098,2.8173707,3.098,2.797088,3.098,2.8298247,3.098,2.9148757
JWTADWCVTQBDTD-UHFFFAOYSA-N,2.297,2.8264446,2.297,2.8159668,2.297,2.8169508,2.297,2.7970345,2.297,2.8227904,2.297,2.8462892
WKEPSSKGIHDSJJ-UHFFFAOYSA-N,3.653,2.8227792,3.653,2.8139591,3.653,2.8172343,3.653,2.7970166,3.653,2.818816,3.653,2.805989
UOLJJDMYWABGMZ-UHFFFAOYSA-N,3.136,2.8240345,3.136,2.8155725,3.136,2.8144917,3.136,2.7970042,3.136,2.8272002,3.136,2.7846208
YVYWHDCBJPQIBV-UHFFFAOYSA-N,3.445,2.8221436,3.445,2.8157082,3.445,2.8137136,3.445,2.7970462,3.445,2.8244479,3.445,2.8061469
AOZIGIQSLKROGP-CHSRVYTFSA-N,3.153,2.8284464,3.153,2.8151758,3.153,2.8164916,3.153,2.7970083,3.153,2.8257594,3.153,2.8136365
QTASNAMBVVSRRT-GTZBDXJUSA-N,2.778,2.828538,2.778,2.8153172,2.778,2.817304,2.778,2.7970042,2.778,2.826066,2.778,3.262682
WRPGSRQHUPYBCT-ZVIXCXBOSA-N,2.84,2.830141,2.84,2.8157942,2.84,2.8178167,2.84,2.797007,2.84,2.8252814,2.84,3.1246057
FVDFBUGLQSNQTE-UHFFFAOYSA-N,2.515,2.825015,2.515,2.8163264,2.515,2.815223,2.515,2.7970102,2.515,2.8293228,2.515,2.9254818
CBOSWPVYOKKSEY-UHFFFAOYSA-N,3.075,2.8238175,3.075,2.8186247,3.075,2.8136728,3.075,2.7969956,3.075,2.8272548,3.075,2.8220422
GHWYXGKMOQRURX-RMCBMONJSA-N,3.188,2.8257747,3.188,2.8149846,3.188,2.8172467,3.188,2.79701,3.188,2.8228676,3.188,2.991916
OKWPTBOXTAEASV-UHFFFAOYSA-N,2.695,2.8235042,2.695,2.820785,2.695,2.8140082,2.695,2.7970018,2.695,2.8311222,2.695,2.8501706
INOXLYLMRHZNNO-UHFFFAOYSA-N,2.655,2.824005,2.655,2.8162382,2.655,2.8151772,2.655,2.7970023,2.655,2.825089,2.655,2.8378866
RJFHXMNMJOJPJM-UHFFFAOYSA-N,3.072,2.8234763,3.072,2.8192987,3.072,2.816605,3.072,2.7969902,3.072,2.8379726,3.072,2.8544955
CUXHVTLNDHTRQD-AKOOKZATSA-N,2.528,2.8287027,2.528,2.8143437,2.528,2.8177752,2.528,2.7970011,2.528,2.8263552,2.528,2.9164765
NWZQMBFVQOSJLO-CBALNBDPSA-N,2.985,2.8282833,2.985,2.8145185,2.985,2.816963,2.985,2.7969997,2.985,2.8242254,2.985,2.8333633
VUFUWGDJRIEXRA-KVLYFZCPSA-N,2.915,2.8245103,2.915,2.8164866,2.915,2.8151155,2.915,2.7970254,2.915,2.826371,2.915,2.793172
ABAPHXWQSVYEKZ-UHFFFAOYSA-N,3.779,2.8215234,3.779,2.8165147,3.779,2.8140485,3.779,2.7970033,3.779,2.8232834,3.779,2.7479937
DFNVDDNPWQCYQA-NLJQFXOZSA-N,2.647,2.8133335,2.647,2.8154395,2.647,2.8147712,2.647,2.7970257,2.647,2.8175101,2.647,2.76932
QGSWKIWTEONFMO-OQFFVEAFSA-N,2.526,2.8291352,2.526,2.815978,2.526,2.8173773,2.526,2.7969847,2.526,2.8255725,2.526,3.3606665
FDYGWCMLRHCKNK-UHFFFAOYSA-N,3.246,2.8181975,3.246,2.8145099,3.246,2.815317,3.246,2.7970262,3.246,2.818151,3.246,2.8170443
VUZAQBORJOFVMY-UHFFFAOYSA-N,2.193,2.8308017,2.193,2.8195007,2.193,2.8169055,2.193,2.7970228,2.193,2.8269508,2.193,3.000707
