,PaiNN_true_ES1,PaiNN_pred_ES1,SchNet_true_ES1,SchNet_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
ZXMNNSNBKSJCAY-JUTFHAHCSA-N,2.613,2.8081822,2.613,2.8111224,2.613,2.8100443,2.613,2.799852,2.613,2.8273475,2.613,2.8746269
UIJKOMNJHYUOSE-YCIKBXFCSA-N,3.693,2.829495,3.693,2.8137586,3.693,2.8049176,3.693,2.7998574,3.693,2.6174455,3.693,2.8587842
OZYWFOZCVHVESN-RMWLYZEXSA-N,2.574,2.8125236,2.574,2.8112178,2.574,2.807711,2.574,2.7998557,2.574,2.738185,2.574,2.7947495
SFXCCNQJTDZCTQ-JGLIMTPMSA-N,2.341,2.8254173,2.341,2.81306,2.341,2.8038769,2.341,2.7998524,2.341,2.4035013,2.341,2.7690701
PPLOYQGAWOQVOR-NXVZUAECSA-N,2.681,2.8290238,2.681,2.8150377,2.681,2.8044946,2.681,2.799856,2.681,2.6037936,2.681,2.6017318
WLQHGSBKGZQRCB-SHRFYYATSA-N,2.928,2.818544,2.928,2.8148398,2.928,2.8069382,2.928,2.7998555,2.928,2.6520202,2.928,2.7729595
XEJYCWUUBGSPDP-UVLLTXLESA-N,3.256,2.820194,3.256,2.809182,3.256,2.8087494,3.256,2.7998507,3.256,2.6312065,3.256,2.819857
IHNWLPYXHAZTAA-MNQNVOJESA-N,2.891,2.8225567,2.891,2.815261,2.891,2.805928,2.891,2.7998543,2.891,2.8626337,2.891,2.7964284
XXUGHBPZMRNUPL-ONBOMYCOSA-N,2.564,2.8160596,2.564,2.806282,2.564,2.8048782,2.564,2.799851,2.564,2.7232103,2.564,2.8474402
FMHOGPURWIXHRY-JSDNDDBKSA-N,2.552,2.814987,2.552,2.8133962,2.552,2.8081903,2.552,2.7998517,2.552,2.592684,2.552,2.7647913
VZWBJTFRYFKQHW-WYADKLPOSA-N,3.345,2.811867,3.345,2.806349,3.345,2.8084972,3.345,2.799849,3.345,2.7423813,3.345,2.806097
NEDHKAUTNSNQSR-QGGNVGEWSA-N,2.518,2.8377588,2.518,2.8117197,2.518,2.8072832,2.518,2.7998505,2.518,2.8075504,2.518,2.7450545
GBZXHSFOAKHYPV-OEPDXVHDSA-N,2.716,2.8150904,2.716,2.8029678,2.716,2.8075478,2.716,2.7998464,2.716,2.7658072,2.716,2.7794447
BCFMMNYEIIPEFE-ZIVXRDADSA-N,2.787,2.8213959,2.787,2.8116732,2.787,2.8079536,2.787,2.7998512,2.787,2.8346322,2.787,2.794065
FWKNQRFGAKLDIG-OJYUQWLISA-N,3.217,2.8182137,3.217,2.8089223,3.217,2.8081536,3.217,2.7998526,3.217,2.6586046,3.217,2.8157868
YOMPMKBXKAKTTN-HSRNTDFQSA-N,3.0,2.8031366,3.0,2.8086298,3.0,2.8103433,3.0,2.799845,3.0,2.881831,3.0,2.7979205
FCBHRQOSUKAQJS-AHDJCLBJSA-N,2.731,2.814696,2.731,2.8151698,2.731,2.8082955,2.731,2.7998505,2.731,2.7350104,2.731,2.7813656
